question_class,primary_center,default_posture,default_answer_output_class,default_landing_boundary,widening_default,notes
startup_current_branch_truth,current_extracted_ION_branch,consult_only,consultation_answer,no_landing_or_advisory_only,non_widening,Use current branch startup/routing/default packet surfaces first.
runtime_api_session,ION-BUILD,consult_only,consultation_answer,no_landing_or_advisory_only,non_widening,Use current branch only if the runtime question is branch-local.
activation_manager_swarm,operation-victus,compare_centers,comparison_judgment,conflict_and_missing_evidence_only,non_widening,Compare with Project-Gemini continuation and current branch startup law where relevant.
template_meta_template_template_evolution,historical ION-BUILD/Aether template-development center,recover_first,recovery_note,atlas_evidence_only,non_widening,Current branch template-surface-evolution repair is secondary by default.
values_soul_linkage,values_and_soul_recovery_surfaces,compare_centers,comparison_judgment,conflict_and_missing_evidence_only,non_widening,Preserve tensions unless the values center is genuinely reconcilable.
compactness_burden_implementation_compression,production precursor pair + IONv2,compare_centers,comparison_judgment,conflict_and_missing_evidence_only,non_widening,Current branch remains a required comparison partner.
archaeology_prior_atlas_prior_consolidation,00_CONSOLIDATED_ATLAS,consult_only,consultation_answer,no_landing_or_advisory_only,non_widening,ProjectOpus and ATLAS are supporting archaeology centers.
wrapper_provenance_variant_interpretation,archive_register_and_wrapper_provenance_surfaces,consult_only,lineage_update,lineage_and_status_only,non_widening,Use wrapper provenance and current branch variant-chain evidence first.
recovery_gap_unresolved_contradiction,conflict_register + missing_evidence_register,recover_first,missing_evidence_escalation,conflict_and_missing_evidence_only,non_widening,Do not flatten preserved contradictions prematurely.
current_branch_bridge_repair,current extracted ION branch,bridge_repair,bridge_repair_note,current_branch_bridge_repair_only,limited_widening,Only after atlas gate and conflict check.
new_extension_candidate,only after non-reinvention proof,bounded_extension,bounded_implementation_packet,tightly_scoped_implementation_surface,widening_allowed_only_if_absent,Consult all relevant preserved centers before allowing extension.
