answer_output_class,default_artifact,default_landing_boundary,widening_default,may_mutate_code,may_mutate_law,notes
consultation_answer,advisory_note,no_landing_or_advisory_only,non_widening,no,no,use existing preserved center only
comparison_judgment,comparison_note_or_conflict_update,atlas_conflict_lineage_only,non_widening,no,no,preserve tensions when unresolved
recovery_note,recovery_note_or_profile_update,atlas_evidence_only,non_widening,no,no,recover missing center before acting
bridge_repair_note,branch_local_repair_note,current_branch_repair_only,limited_widening,possibly,possibly,only if atlas already frames it as local bridge work
conflict_entry,conflict_register_entry,conflict_layer_only,non_widening,no,no,do not flatten contradiction
missing_evidence_escalation,missing_evidence_entry,missing_evidence_layer_only,non_widening,no,no,forces recover-first posture
executable_receipt,runnable_verification_receipt,runnable_proofs_only,non_widening,no,no,verification not redesign
lineage_update,lineage_profile_or_status_update,lineage_profile_status_only,non_widening,no,no,clarifies relations not new systems
atlas_update,atlas_control_or_index_update,atlas_operating_layer_only,non_widening,no,possibly,improves control without widening implementation
bounded_implementation_packet,implementation_packet_and_receipt,tightly_scoped_branch_surface,limited_widening,yes,possibly,requires explicit non-reinvention proof
