question_class,primary_authority_surface,secondary_support_surface,conflict_surface,notes
current_branch_startup_and_routing,11_grand_picture/working_center_selection_guide.md,03_system_profiles/current_branch_template_law_kernel_line.md,12_status_and_conflicts/conflict_register.md,Use when the question is about current branch startup truth or current routing/default packet posture.
runtime_api_session,07_runtime_api_session_recovery/runtime_api_session_recovery_map.md,03_system_profiles/ion_build_runtime_api_session_line.md,12_status_and_conflicts/conflict_register.md,Default first center is ION-BUILD not the current branch.
activation_manager_swarm,08_manager_runtime_swarm_recovery/activation_authority_center_judgment.md,03_system_profiles/operation_victus_profile.md,12_status_and_conflicts/conflict_register.md,Default first center is operation-victus with Project-Gemini as continuation witness.
meta_template_and_template_evolution,05_template_protocol_atlas/historical_meta_template_vs_current_branch_delta_judgment.md,03_system_profiles/old_aether_law_atlas_template_development_line.md,12_status_and_conflicts/conflict_register.md,Historical template-development center outranks current bridge repair for constitutional questions.
compact_executable_memory,09_lineage_and_supersession/operator_burden_compaction_judgment.md,09_lineage_and_supersession/current_branch_vs_precursor_compaction_register.md,12_status_and_conflicts/conflict_register.md,Use before assuming broader or newer means more evolved.
values_and_soul_questions,06_values_and_soul_recovery/smallest_values_constitution.md,06_values_and_soul_recovery/soul_coherence_audit.md,12_status_and_conflicts/conflict_register.md,Default start for questions about what ION is or what got lost.
prior_atlas_and_archaeology,02_prior_audits/prior_consolidation_outcomes.md,03_system_profiles/consolidated_atlas_line.md,12_status_and_conflicts/conflict_register.md,Do not start from wrapper roots before checking the atlas center.
wrapper_root_interpretation,02_prior_audits/audit_wrapper_relation_judgment.md,01_archive_register/production_estate_child_root_status_matrix.csv,12_status_and_conflicts/conflict_register.md,Prevents wrapper proliferation from becoming false center proliferation.
sibling_family_interpretation,04_capability_matrix/capability_matrix.md,03_system_profiles/sos_family.md,12_status_and_conflicts/conflict_register.md,Use when comparing sibling lines or mixed executable/doctrine witnesses.
new_work_or_new_claim,00_program/atlas_work_gating_protocol.md,11_grand_picture/working_atlas_base.md,12_status_and_conflicts/conflict_register.md,No new work should start without passing through the atlas gating protocol.
