surface,stability_class,role,default_use,notes
milestone1_completion_judgment.md,stable_judgment,trust_gate,read_first,Defines whether atlas base is usable
atlas_base_usage_contract.md,stable_contract,usage_contract,read_first,Defines non-final but binding usage
atlas_control_card.md,stable_entry,minimal_control_entry,default_start,Smallest practical start card
future_work_control_defaults_matrix.csv,stable_defaults,combined_defaults,default_start,Maps question to center/posture/output/landing
atlas_work_gating_protocol.md,stable_protocol,work_gate,required_for_new_work,Defines full gating sequence
future_work_gating_authority_matrix.csv,stable_defaults,authority_selection,required_for_new_work,Defines primary preserved center by question
canonical_future_work_question_classes.md,stable_defaults,question_classification,required_for_new_work,Defines canonical question classes
canonical_future_work_question_class_defaults.csv,stable_defaults,question_defaults,required_for_new_work,Maps question classes to center/posture
work_posture_selection_guide.md,stable_guidance,posture_selection,required_for_new_work,Choose least-widening posture
canonical_future_work_answer_output_classes.md,stable_defaults,output_classification,required_for_new_work,Defines answer/output classes
canonical_future_work_answer_output_defaults.csv,stable_defaults,output_defaults,required_for_new_work,Maps output classes to artifacts and landing
canonical_landing_boundary_classes.md,stable_defaults,landing_classification,required_for_new_work,Defines landing-boundary classes
canonical_landing_boundary_defaults.csv,stable_defaults,landing_defaults,required_for_new_work,Maps output classes to default landing boundaries
orchestration_horizon_and_completion_requirements.md,stable_guidance,horizon_completion,required_for_new_work,Requires current position and near/mid/far horizons
atlas_packet_gate_checklist.md,stable_checklist,packet_gate,required_for_new_work,Minimum yes/no gate
bounded_extension_vs_illegal_reinvention.md,stable_law,anti_reinvention,required_for_new_work,Defines lawful extension vs illegal reinvention
conflict_register.md,stable_dependency,conflict_memory,always_check,Preserved contradiction layer; remains non-final
working_center_selection_guide.md,provisional_support,center_explanation,use_when_needed,Support surface; stable enough but descriptive
gated_work_start_examples/README.md,provisional_support,examples,use_when_needed,Teaching layer
atlas_control_lifecycle_demonstration.md,provisional_support,lifecycle_demo,use_when_needed,Demonstration layer
