root,ontology_status,center_class,executable_status,primary_recovery_role,notes
current extracted ION branch,active current line,governance-explicit repaired witness,full packaged current-branch proof,current startup/routing/template-law center,Strongest preserved current law/template startup center but not yet a full reintegrated activation/runtime center.
ION-BUILD,historical witness,strongest runtime/API/session center,strong targeted executable receipts,historical runtime/API/session center,Also strongest preserved constitutional meta-template center in exact-match TEMPLATE_DEVELOPMENT sense.
operation-victus,historical witness,strongest executable activation-authority center,strong executable receipts,historical manager/orchestrator/swarm center,Broader primary source of manager/orchestrator truth.
Project-Gemini,historical witness,rehomed executable continuation witness,strong executable receipts,continuation witness of operation-victus manager line,Not merely packaging echo; preserves direct executable swarm-cycle continuation.
production ION,historical witness,compact extracted-core witness,full pytest receipt,precursor compact runnable core,Useful compact core witness but not full organism center.
production ION (codex branch),historical witness,compact extracted-core sibling witness,full pytest receipt,documentation/state sibling of production ION,Primarily sibling witness rather than distinct implementation family.
IONv2,historical witness,compact executable implementation witness,strong near-full pytest receipt,compressed implementation philosophy witness,Important for governed-write/context/continuity compactness tension.
AETHER-OS-V4,historical witness,executable Aether-OS shell/runtime witness,targeted executable receipt,Aether-OS shell/runtime sibling witness,Do not reduce to doctrine residue only.
SOS,sibling line,mixed executable/doctrine/governance sibling,targeted executable receipt,mixed sibling family,Preserves compact runnable pipeline plus governance/doctrine surfaces.
SOS-Gemini,sibling line,mixed executable/doctrine/governance sibling,targeted executable receipt,mixed sibling family,Gemini-oriented SOS sibling witness.
SOS-OPUS,sibling line,mixed executable/governance sibling,targeted executable receipt,mixed sibling family,Governance/consolidation-heavy SOS sibling with runnable pipeline witness.
00_CONSOLIDATED_ATLAS,historical witness,strongest prior atlas/consolidation center,not executable,atlas/lineage center,Primary prior atlas center for anti-forgetting and authority mapping.
ProjectOpus,historical witness,meta-consolidation / anti-chaos witness,not executable,archaeology-support line,Important for failure/bloat/provenance analysis.
ATLAS,historical witness,external systems reference library,not executable,comparative archaeology-support line,Large supporting library rather than primary executable center.
composeraudit,historical witness,expanded regenerated audit-wrapper witness,not executable,wrapper witness around prior atlas material,Do not promote above 00_CONSOLIDATED_ATLAS.
geminiaudit,historical witness,smaller regenerated audit-wrapper witness,not executable,wrapper witness around prior atlas material,Do not promote above 00_CONSOLIDATED_ATLAS.
conjugate-basis-hidden-field,peripheral witness,peripheral executable benchmark witness,small executable receipt,peripheral concept witness,Potential hidden-state/control relevance but not main ontology center.
