capability_family,current_branch_template_law_kernel_line,ion_build_runtime_api_session_line,victus_gemini_manager_orchestrator_swarm_line,old_aether_law_atlas_template_development_line,first_pass_strongest_center
canonical_workflow_and_packet_law,strong,partial,weak,partial,current_branch_template_law_kernel_line
template_binding_and_current_template_floor,strong,partial,weak,partial,current_branch_template_law_kernel_line
full_template_canon_and_meta_template,partial,strong,weak,strong,old_aether_law_atlas_template_development_line
runtime_api_session_queue,weak,strong,partial,weak,ion_build_runtime_api_session_line
manager_orchestrator_swarm,weak,partial,strong,weak,victus_gemini_manager_orchestrator_swarm_line
aether_constitution_kernel_atlas,partial,strong,weak,strong,old_aether_law_atlas_template_development_line
truename_chassis_and_current_startup_truth,strong,weak,weak,partial,current_branch_template_law_kernel_line
values_precedence_and_smallest_law_compression,partial,strong,weak,strong,old_aether_law_atlas_template_development_line
IONv2,governed_write_context_compiler_compact_line,strong,partial,partial,partial,partial,partial_compact_executable
conjugate-basis-hidden-field,ontology_math_support_line,weak,weak,weak,weak,partial,peripheral_executable_witness
