archive_name,family,variant_group,top_roots,production_child_roots,file_count,notes
ION - Production(1).zip,production_estate,production_estate,ION - Production,.ruff_cache|00_CONSOLIDATED_ATLAS|AETHER-OS-V4|ATLAS|ION|ION (codex branch)|ION-BUILD|IONv2|Project-Gemini|ProjectOpus|SOS|SOS-Gemini|SOS-OPUS|composeraudit|conjugate-basis-hidden-field|geminiaudit|operation-victus,30031,production_child_roots=17
ION - Production(2).zip,production_estate,production_estate,ION - Production,.ruff_cache|00_CONSOLIDATED_ATLAS|AETHER-OS-V4|ATLAS|ION|ION (codex branch)|ION-BUILD|IONv2|Project-Gemini|ProjectOpus|SOS|SOS-Gemini|SOS-OPUS|composeraudit|conjugate-basis-hidden-field|geminiaudit|operation-victus,30031,production_child_roots=17
ION(1).zip,current_branch_or_variant,current_branch_line,ION,,2030,
ION.zip,current_branch_or_variant,current_branch_line,ION,,1906,
ION_Canonical_Consolidation_2026-04-11_C10.zip,canonical_bundle,canonical_line,00_README.md|00_manifest|10_canonical_root|20_state_evidence|30_workbench_evidence|40_future_master_line,,2087,
ION_Canonical_Consolidation_2026-04-11_C11.zip,canonical_bundle,canonical_line,00_README.md|00_manifest|10_canonical_root|20_state_evidence|30_workbench_evidence|40_future_master_line,,2111,
ION_Canonical_Consolidation_2026-04-11_C3(1).zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C3,,1964,
ION_Canonical_Consolidation_2026-04-11_C3.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C3,,1964,
ION_Canonical_Consolidation_2026-04-11_C4.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C4,,1797,
ION_Canonical_Consolidation_2026-04-11_C5.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C5,,1876,
ION_Canonical_Consolidation_2026-04-11_C6.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C6,,1907,
ION_Canonical_Consolidation_2026-04-11_C7.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C7,,1953,
ION_Canonical_Consolidation_2026-04-11_C8.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C8,,2007,
ION_Canonical_Consolidation_2026-04-11_C9.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_C9,,2050,
ION_Canonical_Consolidation_2026-04-11_v1.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_v1,,1922,
ION_Canonical_Consolidation_2026-04-11_v2.zip,canonical_bundle,canonical_line,ION_Canonical_Consolidation_2026-04-11_v2,,1766,
ION_Consolidation_Workbench_2026-04-11(1).zip,workbench_bundle,workbench_line,ION_Consolidation_Workbench_2026-04-11,,9,
ION_Consolidation_Workbench_2026-04-11.zip,workbench_bundle,workbench_line,ION_Consolidation_Workbench_2026-04-11,,9,
ION_Consolidation_Workbench_2026-04-11_v2(1).zip,workbench_bundle,workbench_line,ION_Consolidation_Workbench_2026-04-11,,15,
ION_Consolidation_Workbench_2026-04-11_v2.zip,workbench_bundle,workbench_line,ION_Consolidation_Workbench_2026-04-11,,15,
ION_Consolidation_Workbench_2026-04-11_v3(1).zip,workbench_bundle,workbench_line,ION_Consolidation_Workbench_2026-04-11_v3,,24,
ION_Consolidation_Workbench_2026-04-11_v3.zip,workbench_bundle,workbench_line,ION_Consolidation_Workbench_2026-04-11_v3,,24,
ION_Consolidation_Workbench_2026-04-11_v4.zip,workbench_bundle,workbench_line,ION_Consolidation_Workbench_2026-04-11_v4,,34,
ION_MASTER_RECOVERY_RECORD_2026-04-13.zip,master_recovery_bundle,master_recovery_line,00_README.md|01_archive_inventory_summary.csv|02_archive_file_inventory.csv|03_production_root_feature_matrix.csv|04_previous_consolidation_attempts_register.csv|05_key_evidence_paths.csv|06_fractured_core_matrix.csv|10_recovered_core_values.md|11_where_the_values_were_lost.md|12_fractured_core_recovery_map.md|13_manager_runtime_swarm_lineage.md|14_prior_audits_and_why_they_failed.md|15_repair_program.md|16_decision_point.md|17_production_root_feature_matrix_narrative.md|18_master_summary.json,,16,
ION_Working_Branch_M16.zip,current_branch_or_variant,m16_line,ION_Working_Branch_M16,,1866,
ION_Working_Branch_M16_bootstrap_activation_landed_2026-04-10(1).zip,current_branch_or_variant,m16_bootstrap,ION,,1795,
