root,file_count,root_class,executable_witness_status,primary_center_role,misread_risk
00_CONSOLIDATED_ATLAS,151,prior atlas center,not executable,atlas/authority/lineage center,May be eclipsed by later wrapper roots
AETHER-OS-V4,257,sibling witness,executable,targeted Aether-OS shell/runtime witness,Can be reduced to doctrine residue only
ATLAS,3461,archaeology-support library,not executable,external systems comparative library,Can be over-promoted into primary center
composeraudit,326,wrapper witness,not executable,regenerated audit-wrapper around atlas material,Can be mistaken for independent center
geminiaudit,41,wrapper witness,not executable,smaller audit-wrapper around atlas material,Can be mistaken for independent center
conjugate-basis-hidden-field,119,peripheral witness,executable,peripheral benchmark/control concept witness,Can be over-promoted into ontology center
ION,969,compact precursor witness,executable,compact extracted-core runnable witness,Can be mistaken for total organism center
ION (codex branch),860,compact sibling witness,executable,compact sibling of precursor ION,Can be mistaken for distinct implementation family
ION-BUILD,2403,primary historical center,executable,strongest runtime/API/session and meta-template center,Can be forgotten because current branch is newer
IONv2,127,compact implementation witness,executable,compact executable implementation witness,Can be mistaken for minor side line despite strong runnable posture
operation-victus,2212,primary historical center,executable,strongest executable manager/orchestrator/swarm center,Can be flattened together with Project-Gemini
Project-Gemini,2110,continuation witness,executable,rehomed executable continuation of Victus line,Can be mistaken for wholly separate origin
ProjectOpus,69,archaeology-support center,not executable,meta-consolidation / anti-chaos witness,Can be treated as just another audit note
SOS,9560,mixed sibling family,executable,mixed doctrine/governance/executable sibling,Can be flattened into doctrine residue
SOS-Gemini,3359,mixed sibling family,executable,mixed doctrine/governance/executable sibling,Can be flattened into doctrine residue
SOS-OPUS,4004,mixed sibling family,executable,mixed governance/executable sibling,Can be flattened into doctrine residue
