path,role,status,why_it_matters
00_program/milestone1_completion_judgment.md,trust_gate,active,Declares Milestone 1 achieved as provisional stable atlas base
00_program/atlas_base_usage_contract.md,usage_law,active,Defines how atlas base may be used without false certainty
11_grand_picture/atlas_base_index.md,entry_index,active,Minimal atlas entry surface
11_grand_picture/atlas_base_read_order.md,entry_read_order,active,Smallest stable reading order
09_lineage_and_supersession/center_status_judgment.md,center_classification,active,Declares what kind of center each major line is
01_archive_register/root_family_index.md,root_family_frame,active,Names fractured cores and major family roles
06_values_and_soul_recovery/smallest_values_constitution.md,values_center,active,Recovers smallest ION/Aether value center
06_values_and_soul_recovery/soul_coherence_audit.md,soul_audit,active,Explains where center/linkage was lost
08_manager_runtime_swarm_recovery/activation_authority_center_judgment.md,activation_center,active,Explains where executable activation center historically lived
05_template_protocol_atlas/historical_meta_template_vs_current_branch_delta_judgment.md,meta_template_center,active,Explains older meta-template strength vs current bridge repair
12_status_and_conflicts/conflict_register.md,conflict_preservation,active,Prevents false flattening of unresolved tensions
12_status_and_conflicts/missing_evidence_register.md,evidence_guard,active,Tracks what is still only partially resolved
